Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu
Postulat betreffend amtliches Publikationsorgan,Postulat,Erledigt,20. Februar 2021,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Erstunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']"
Interpellation betreffend Gewerbebauland in der Au sowie der Zone für öffentliche Bauten,Interpellation,Beantwortet,24. Januar 2011,"[' Baer Charlotte', '', 'Fredy Haab, SVP\n Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Pascal Rubin (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Hanspeter Andreoli (keine Funktion)', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Fredy Haab', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli']"
Interpellation betreffend Digitalisierung der Verwaltungsprozesse,Interpellation,Erledigt,4. November 2022,"[' Schafflützel Roman', ' Koch Thomas', ' Lüthi Beat', ' Schüpbach Nadia ', '', 'Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '']","['Schafflützel Roman', 'Koch Thomas', 'Lüthi Beat', 'Schüpbach Nadia', 'Ernst Grand', 'Christian Nufer']"
Postulat betreffend flächendeckende Einführung von NPM der Wädenswiler Verwaltung,Postulat,Beantwortet,15. Juni 2010,['Geschäfts- und Rechnungsprüfungskommission'],"['Geschäfts-, Rechnungsprüfungskommission']"
Interpellation betreffend vermehrte Geschwindigkeitskontrollen,Interpellation,Erledigt,14. Oktober 2012,['Albert A. Stahel'],['Albert A. Stahel']
Schriftliche Anfrage betreffend Seeweg,Anfrage,Beantwortet,7. Juni 2013,['Albert A. Stahel'],['Albert A. Stahel']
Postulat betreffend Schaffung einer Umweltabteilung,Postulat,Nicht überwiesen,1. Oktober 2009,['Thomas Largiadèr (Verfasser/in)'],['Thomas Largiadèr']
Schriftliche Anfrage betreffend Ersatz alter Gasheizkesseln in städtischen Liegenschaften,Anfrage,Erledigt,8. Februar 2019,"[' Höhener Patrick', ' Reiter Ulrich', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Erstunterzeichner/in)', '']","['Höhener Patrick', 'Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']"
"Schriftliche Anfrage betreffend Plakatwänden, Leuchtreklamen und Geschäftsbeschriftungen",Anfrage,Beantwortet,18. November 2014,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Mitunterzeichner/in)', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug']"
Postulat betreffend Submission Mahlzeitenlieferungen PSW,Postulat,Pendent Legislative,2. Dezember 2021,"[' Gall Ursula', ' Kronauer Marco', ' Lüthi Beat', ' Minutella Angelo', ' Reiter Ulrich', ' Zürrer André', '', 'Christian Gross (Erstunterzeichner/in)\n Martin Schlatter (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)', '', '']","['Gall Ursula', 'Kronauer Marco', 'Lüthi Beat', 'Minutella Angelo', 'Reiter Ulrich', 'Zürrer André', 'Christian Gross', 'Martin Schlatter', 'Judith Fürst']"
Schriftliche Anfrage betreffend Leistungen an Vereine und Organisationen in Wädenswil,Anfrage,Beantwortet,7. Dezember 2016,"[' Baer Charlotte', ' Zürrer André', '', 'Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Ivano Coduri', 'Erich Schärer', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Sandy Bossert']"
Postulat betreffend Durchführung einer Volksabstimmung zum Projekt Leuchtturm am Seeplatz,Postulat,Nicht überwiesen,23. September 2008,['GP-Fraktion'],['GP-Fraktion']
"Interpellation zum Problem der ""ungebremsten Kostenentwicklung im Bereich Primarschule in Wädenswil""",Interpellation,Erledigt,3. Dezember 2020,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']"
Schriftliche Anfrage betreffend Auswirkungen der intensiven Bautätigkeit,Anfrage,Beantwortet,8. Februar 2011,"[' Furrer Astrid', '', 'Peter Dolder, FDP\n Gian-Fadri Gattiker, FDP\n Thomas Bürge, FDP\n Walter Münch (keine Funktion)', '', '', '']","['Astrid Furrer', 'Peter Dolder', 'Gian-Fadri Gattiker', 'Thomas Bürge', 'Walter Münch']"
Schriftliche Anfrage betreffend Klassenzuteilung an der Primarschule,Kleine Anfrage,Beantwortet,20. August 2006,['Thomas Hartmann'],['Thomas Hartmann']
Schriftliche Anfrage betreffend Buslinien in der Au,Anfrage,Erledigt,11. April 2019,"[' Hauser Urs', '', 'Martin Schlatter (keine Funktion)\n Gabi Bachmann (keine Funktion)', '']","['Hauser Urs', 'Martin Schlatter', 'Gabi Bachmann']"
Schriftliche Anfrage betreffend Beleuchtungskonzept für die Stadt Wädenswil,Kleine Anfrage,Beantwortet,9. Dezember 2007,['Willy Rüegg'],['Willy Rüegg']
Interpellation betreffend Verkehrsberuhigung in Wädenswil,Interpellation,Erledigt,2. Juni 2023,"[' Tanner Imfeld Monika', ' Fuchs Werner', ' Minutella Angelo']","['Tanner Imfeld Monika', 'Fuchs Werner', 'Minutella Angelo']"
Schriftliche Anfrage betreffend Kulturhalle Glärnisch,Kleine Anfrage,Beantwortet,20. Januar 2008,"['Reto Wullschleger, BFPW\n Roland Bollier, BFPW', '']","['Reto Wullschleger', 'Roland Bollier']"
Schriftliche Anfrage betreffend Umbau der Kreuzung Oberort zu einem Verkehrskreisel,Kleine Anfrage,Beantwortet,12. August 2009,"['Roland Bollier, BFPW']",['Roland Bollier']
Schriftliche Anfrage betreffend Kosten für das Logo der Stadt Wädenswil,Kleine Anfrage,Beantwortet,11. Mai 2006,[' Baer Charlotte'],['Baer Charlotte']
Postulat betreffend Beleuchtungskonzept,Postulat,Abgeschrieben,2. September 2016,['Christian Gross (Erstunterzeichner/in)'],['Christian Gross']
Schriftliche Anfrage betreffend Bike & Ride,Kleine Anfrage,Beantwortet,17. September 2012,"[' Erni Jonas', '', 'Willy Rüegg\n Daniel Tanner (keine Funktion)\n Beatrice Gmür (keine Funktion)\n Hansjörg Schmid (keine Funktion)\n Christian Gross (keine Funktion)', '', '', '', '']","['Erni Jonas', 'Willy Rüegg', 'Daniel Tanner', 'Beatrice Gmür', 'Hansjörg Schmid', 'Christian Gross']"
Interpellation betreffend Obst- und Weinbaubetrieb in der Au,Interpellation,Erledigt,29. Januar 2018,"[' Reiter Ulrich', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']"
Schriftliche Anfrage betreffend Kosten für Pflegematerial,Anfrage,Beantwortet,13. Februar 2018,"[' Koch Thomas', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Schafflützel Roman', 'Schüpbach Nadia', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']"
Interpellation betreffend weiteres Vorgehen bei der Zentrumsplanung (Gerbestrasse und Umgebung sowie Poststrasse und Umgebung),Interpellation,Beantwortet,19. September 2012,"['Beat Wiederkehr (keine Funktion)\n Marc Lütolf (keine Funktion)\n Andreas Gut (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Beat Wiederkehr', 'Marc Lütolf', 'Andreas Gut', 'Monika Greter']"
Motion betreffend Aufhebung der städtischen Ergänzungszulagen zur kantonalen Beihilfe,Motion,Erledigt,11. Juli 2016,"[' Baer Charlotte', ' Zürrer André', '', 'Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Ivano Coduri', 'Erich Schärer', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']"
Postulat betreffend Schaffung von genügend Lehr- und Erwerbsarbeitsstellen für alle Jugendliche in Wädenswil,Postulat,Nicht überwiesen,10. Mai 2006,['Willy Rüegg'],['Willy Rüegg']
Schriftliche Anfrage betreffend Umsetzung Tempo-30-Zonen,Kleine Anfrage,Beantwortet,15. Januar 2008,['EVP-Fraktion'],['EVP-Fraktion']
Schriftliche Anfrage betreffend Sanierungsarbeiten an der Etzelstrasse und anderswo,Kleine Anfrage,Beantwortet,24. August 2009,['Walter Münch (Verfasser/in)'],['Walter Münch']
Interpellation betreffend Klimaplan Ernährung,Interpellation,Pendent Legislative,1. Juni 2023,"[' Frommherz Nico', ' Bachmann Severin', ' Höhener Patrick', ' Reiter Ulrich', ' Wehrli Samuel']","['Frommherz Nico', 'Bachmann Severin', 'Höhener Patrick', 'Reiter Ulrich', 'Wehrli Samuel']"
Interpellation betreffend Mieterträge für Mobilfunkantennen auf städtischen Grundbesitz,Interpellation,Beantwortet,6. Dezember 2007,['Christoph Hirzel'],['Christoph Hirzel']
Postulat betreffend Vaterschaftsurlaub,Postulat,Erledigt,16. April 2019,"['Christian Gross (Ersatzurheber/in)\n Lukas Wiederkehr (Mitunterzeichner/in)', '']","['Christian Gross', 'Lukas Wiederkehr']"
Motion betreffend Einführung eines bezahlten Vaterschaftsurslaubs (4 Wochen),Motion,Beantwortet,30. August 2006,['Willy Rüegg'],['Willy Rüegg']
Interpellation betreffend Auswirkungen der kantonalen Abstimmung vom 27. September 2020 über das Strassengesetz und das Zusatzleistungsgesetz,Interpellation,Erledigt,23. November 2020,"[' Baer Charlotte', ' Kronauer Marco', ' Rasper Nicolas', ' Zürrer André', '', 'Roy Schärer (Mitunterzeichner/in)\n Sandy Bossert (Erstunterzeichner/in)', '']","['Baer Charlotte', 'Kronauer Marco', 'Rasper Nicolas', 'Zürrer André', 'Roy Schärer', 'Sandy Bossert']"
Schriftliche Anfrage betreffend vordere Au,Anfrage,Beantwortet,10. Februar 2011,"['Willy Rüegg, SP']",['Willy Rüegg']
Postulat betreffend Massnahmen zur Einhaltung der Tempolimite in den Tempo-30-Zonen,Postulat,Nicht überwiesen,2. September 2008,"['Thomas Largiadèr, SP\n Heinz Wiher, GP', '']","['Thomas Largiadèr', 'Heinz Wiher']"
Schriftliche Anfrage betreffend Zivildienstleistende an der Schule Wädenswil,Anfrage,Erledigt,6. Oktober 2021,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']"
"Interpellation betreffend Gerbeplatz mit unterirdischem-, Weinrebe mit ober-/unterirdischem automatischem Parksystem",Interpellation,Erledigt,1. Dezember 2016,"[' Baer Charlotte', '', 'Marc Lütolf (keine Funktion)\n Michael Weiss (keine Funktion)\n Christina Zurfluh Fraefel (Erstunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '', '']","['Baer Charlotte', 'Marc Lütolf', 'Michael Weiss', 'Christina Zurfluh Fraefel', 'Christian Nufer']"
"Interpellation betreffend Submission Arbeiten ""Gewerbepark Rütihof""",Interpellation,Erledigt,24. November 2014,"[' Minutella Angelo', '', 'Jonas Rickli (keine Funktion)\n Pierre Rappazzo (Erstunterzeichner/in)', '']","['Minutella Angelo', 'Jonas Rickli', 'Pierre Rappazzo']"
Schriftliche Anfrage betreffend seniorengrechten öffentlichen Raum,Anfrage,Erledigt,10. Januar 2019,"[' Utiger Joël', '', 'Volkan Dogu (Mitunterzeichner/in)\n Monika Greter (Erstunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)', '', '']","['Utiger Joël', 'Volkan Dogu', 'Monika Greter', 'Lukas Wiederkehr']"
"Motion zur Prüfung, Überarbeitung und Anpassung der Kernzonen sowie allenfalls nötige Anpassungen der BZO",Motion,Erledigt,28. September 2009,['Pascal Rubin (Verfasser/in)'],['Pascal Rubin']
Schriftliche Anfrage betreffend Status der Raumbedarfplanung an Wädenswiler Schulen,Kleine Anfrage,Beantwortet,14. September 2009,['Christoph Hirzel'],['Christoph Hirzel']
Postulat betreffend Bauabrechnungen,Postulat,Erledigt,10. Dezember 2018,"['Pascal Rubin (Mitunterzeichner/in)\n Bruno Zürcher (Mitunterzeichner/in)\n Hanspeter Andreoli (Erstunterzeichner/in)', '', '']","['Pascal Rubin', 'Bruno Zürcher', 'Hanspeter Andreoli']"
"Interpellation zur Entwicklung des Seegrundstücks ""Seegüetli""",Interpellation,Erledigt,18. November 2014,"[' Schüpbach Nadia ', ' Koch Thomas', '', 'Oliver Küng (keine Funktion)\n Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '', '']","['Schüpbach Nadia', 'Koch Thomas', 'Oliver Küng', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']"
Interpellation betreffend Stromverbrauch und Kosteneinsparung,Interpellation,Erledigt,22. November 2016,"[' Zürrer André', ' Baer Charlotte', '', 'Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '', '', '']","['Zürrer André', 'Baer Charlotte', 'Ivano Coduri', 'Erich Schärer', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']"
Interpellation betreffend Interne Verrechnungen von Abschreibungen und Liegenschaftskosten,Interpellation,Erledigt,22. Juli 2021,"[' Kronauer Marco', ' Lüthi Beat', ' Minutella Angelo', ' Reiter Ulrich', ' Zürrer André', '', 'Eric Schenk (Mitunterzeichner/in)\n Christian Gross (Erstunterzeichner/in)\n Martin Schlatter (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)', '', '', '']","['Kronauer Marco', 'Lüthi Beat', 'Minutella Angelo', 'Reiter Ulrich', 'Zürrer André', 'Eric Schenk', 'Christian Gross', 'Martin Schlatter', 'Judith Fürst']"
Schriftliche Anfrage betreffend Konzessionsland in Wädenswil,Kleine Anfrage,Beantwortet,28. September 2008,['Willy Rüegg'],['Willy Rüegg']
Postulat betreffend Projektstudie für eine Holzschnitzelheizzentrale Eidmatt,Postulat,Abgelehnt,16. Dezember 2020,"[' Höhener Patrick', ' Reiter Ulrich', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Höhener Patrick', 'Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']"
Postulat betreffend Beitritt der Stadt Wädenswil zur Genossenschaft Theater Kanton Zürich,Postulat,Nicht überwiesen,19. September 2006,['Willy Rüegg'],['Willy Rüegg']
Schriftliche Anfrage betreffend weniger Sicherheit wegen Entfernen von Strassenlaternen,Anfrage,Erledigt,10. April 2019,"[' Baer Charlotte', ' Kronauer Marco', ' Zürrer André', '', 'Christina Zurfluh Fraefel (keine Funktion)\n Roy Schärer (keine Funktion)\n Sandy Bossert (Erstunterzeichner/in)', '', '']","['Baer Charlotte', 'Kronauer Marco', 'Zürrer André', 'Christina Zurfluh Fraefel', 'Roy Schärer', 'Sandy Bossert']"
Postulat betreffend Umnutzung des Gemeinderats-Saals für schulische Zwecke und Durchführung der Gemeinderatssitzungen in der Kulturhalle Glärnisch,Postulat,Beantwortet,14. November 2007,['SVP-Fraktion'],['SVP-Fraktion']
Motion zur Abklassierung der Tiefenhofstrasse,Motion,Beantwortet,12. Juli 2011,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']"
Interpellation betreffend Handhabung Parkplatzgebühren für Mitarbeitende,Interpellation,Erledigt,25. April 2023,"[' Frommherz Nico', ' Bachmann Severin', ' Höhener Patrick', ' Reiter Ulrich', ' Wehrli Samuel']","['Frommherz Nico', 'Bachmann Severin', 'Höhener Patrick', 'Reiter Ulrich', 'Wehrli Samuel']"
Schriftliche Anfrage betreffend Mobilitätsrabatte für Mitarbeiter/-innen der Stadt Wädenswil,Kleine Anfrage,Beantwortet,21. Januar 2008,['GP-Fraktion'],['GP-Fraktion']
Schriftliche Anfrage betreffend nicht zugestellter Stimmunterlagen,Kleine Anfrage,Beantwortet,21. Mai 2006,"['Doris Stüdli, FDP']",['Doris Stüdli']
Interpellation betreffend Sicherheit im Bahnhofquartier,Interpellation,Beantwortet,18. Dezember 2011,['Albert A. Stahel (Verfasser/in)'],['Albert A. Stahel']
Interpellation betreffend Anschluss von Schönenberg an die ARA Wädenswil,Interpellation,Erledigt,16. Juni 2016,"['Simon Kägi (keine Funktion)\n Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '', '']","['Simon Kägi', 'Rita Hug', 'Claudia Bühlmann']"
Postulat betreffend Vermittlung von Grundwerten durch die Eltern,Postulat,Erledigt,16. Januar 2018,"[' Baer Charlotte', ' Zürrer André', '', 'Markus Siegrist (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Erstunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Roy Schärer (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Markus Siegrist', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Roy Schärer', 'Hanspeter Andreoli', 'Sandy Bossert']"
Postulat betreffend Verbesserung der Suchfunktion auf www.waedenswil.ch,Postulat,Erledigt,16. Januar 2018,"[' Roth Hans', '', 'Beatrice Gmür (Erstunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)', '', '', '', '']","['Roth Hans', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross', 'Judith Fürst']"
Interpellation betreffend Gesamtkonzept Hochschulstadt,Interpellation,Beantwortet,15. Dezember 2011,['Albert A. Stahel (Verfasser/in)'],['Albert A. Stahel']
Schriftliche Anfrage betreffend Wie steht es um den Gerbeplatz,Anfrage,Erledigt,16. Juni 2016,"[' Roth Hans', '', 'Peter Hildebrand (keine Funktion)\n Beatrice Gmür (Erstunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)', '', '', '', '']","['Roth Hans', 'Peter Hildebrand', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross']"
Schriftliche Anfrage betreffend Tiefenhofweiher,Kleine Anfrage,Beantwortet,22. Mai 2006,['GP-Fraktion'],['GP-Fraktion']
Postulat betreffend Alterswohnungen und altersdurchmischstes Wohnen in der Au,Postulat,Beantwortet,26. Januar 2008,['Willy Rüegg'],['Willy Rüegg']
"Interpellation betreffend Kinderkrippe Etzelstrasse, Gefährdung beim Halten und Parkieren",Interpellation,Erledigt,22. Mai 2023,"[' Gwerder-Fegble Alexandra', ' Koch Thomas', ' Lüthi Beat', ' Schafflützel Roman', ' Schüpbach Nadia ', ' Taddei Nicolo', '', 'Christian Nufer (Mitunterzeichner/in)']","['Gwerder-Fegble Alexandra', 'Koch Thomas', 'Lüthi Beat', 'Schafflützel Roman', 'Schüpbach Nadia', 'Taddei Nicolo', 'Christian Nufer']"
Schriftliche Anfrage betreffend Zürisee Center Wädenswil,Kleine Anfrage,Beantwortet,7. Juni 2011,"[' Stucki Adrian', '', 'Heinz Wiher']","['Stucki Adrian', 'Heinz Wiher']"
"Motion zur Änderung der Gemeindeordnung, Übertrag der Zuständigkeit zur Erteilung des Bürgerrechts an den Stadtrat",Motion,Erledigt,15. November 2007,['FDP-Fraktion'],['FDP-Fraktion']
Postulat betreffend Klimanotstand,Postulat,Abgeschrieben,4. April 2019,['Christian Gross (Erstunterzeichner/in)'],['Christian Gross']
Motion betreffend Ausnützungsbonus für Minergiebauten,Motion,Beantwortet,1. September 2006,['GP-Fraktion'],['GP-Fraktion']
Interpellation betreffend Kosten von parlamentarischen Vorstössen,Interpellation,Pendent Legislative,28. Januar 2021,"[' Rasper Nicolas', ' Baer Charlotte', ' Kronauer Marco', ' Zürrer André', '', 'Roy Schärer (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '']","['Rasper Nicolas', 'Baer Charlotte', 'Kronauer Marco', 'Zürrer André', 'Roy Schärer', 'Sandy Bossert']"
Postulat betreffend Defibrilator,Postulat,Nicht überwiesen,29. September 2008,['CVP-Fraktion'],['CVP-Fraktion']
Schriftliche Anfrage betreffend Optimierung des Elektrizitätsstandards der Stadt Wädenswil,Anfrage,Beantwortet,28. November 2016,"[' Minutella Angelo', '', 'Michael Weiss (keine Funktion)\n Pierre Rappazzo (Mitunterzeichner/in)', '']","['Minutella Angelo', 'Michael Weiss', 'Pierre Rappazzo']"
Interpellation betreffend Suspendierung Geschäftsführer Alterszentrum Frohmatt,Interpellation,Pendent Legislative,2. September 2021,"[' Gall Ursula', ' Utiger Joël', '', 'Lukas Wiederkehr (Erstunterzeichner/in)']","['Gall Ursula', 'Utiger Joël', 'Lukas Wiederkehr']"
Interpellation betreffend Standortförderung Wädenswil,Interpellation,Erledigt,17. November 2014,"[' Koch Thomas', ' Schüpbach Nadia ', '', 'Oliver Küng (keine Funktion)\n Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '', '']","['Koch Thomas', 'Schüpbach Nadia', 'Oliver Küng', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']"
Schriftliche Anfrage betreffend Einkaufswesen,Anfrage,Erledigt,13. Dezember 2018,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']"
Interpellation betreffend Umsetzung der Sozialziele gemäss Bundes- und Kantonsverfassung,Interpellation,Beantwortet,21. September 2009,['Thomas Largiadèr (Verfasser/in)'],['Thomas Largiadèr']
Motion betreffend Sozialinspektor oder eine gleichbedeutende Amtsperson oder Stelle,Motion,Beantwortet,2. November 2009,['SVP-Fraktion'],['SVP-Fraktion']
Interpellation betreffend langfristige Kreditvereinbarung der Stadt Wädenswil - Konsequenzen und Lehren aus dem Debakel,Interpellation,Erledigt,8. Dezember 2012,"[' Furrer Astrid', ' Koch Thomas', '', 'Walter Münch (keine Funktion)\n Walter Münch (keine Funktion)\n Christian Nufer (keine Funktion)', '', '']","['Astrid Furrer', 'Koch Thomas', 'Walter Münch', 'Walter Münch', 'Christian Nufer']"
Interpellation betreffend Bewilligungspraxis Mobilfunkantenne Bin Rääbe,Interpellation,Erledigt,9. November 2018,['Pierre Rappazzo (Erstunterzeichner/in)'],['Pierre Rappazzo']
Postulat gegen den Verkehrskollaps am Kreisel Zuger-/Steinacherstrasse,Postulat,Erledigt,2. September 2014,"['Daniel Tanner (keine Funktion)\n Thomas Rom (keine Funktion)\n Beatrice Gmür (Erstunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)', '', '', '', '']","['Daniel Tanner', 'Thomas Rom', 'Beatrice Gmür', 'Edith Brunner', 'Christian Gross']"
Schriftliche Anfrage betreffend Bewirtschaftung von öffentlichen Parkhäusern,Anfrage,Beantwortet,24. Juni 2013,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']"
Schriftliche Anfrage betreffend Verkehrsführung Bahnhofplatz,Kleine Anfrage,Beantwortet,23. Oktober 2008,"['Denise Engel, SP']",['Denise Engel']
Schriftliche Anfrage betreffend Qualität Seeuferweg,Anfrage,Erledigt,12. April 2021,"[' Höhener Patrick', ' Reiter Ulrich', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Erstunterzeichner/in)', '']","['Höhener Patrick', 'Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']"
Interpellation betreffend Rendite der Liegenschaften im Finanzvermögen,Interpellation,Erledigt,7. Februar 2017,"['Pascal Rubin (Erstunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)', '']","['Pascal Rubin', 'Hanspeter Andreoli']"
Einzelinitiative Direkte Wahl des Schulpräsidenten durch das Volk,Einzelinitiative,Erledigt,30. Januar 2023,,
Postulat betreffend Projektstudie für eine Holzpellet-/Holzschnitzelheizung bei der Sanierung des Kranken- und Pflegeheims Frohmatt,Postulat,Beantwortet,18. Juli 2006,"['Heini Hauser, SVP\n Heinz Wiher, Grüne', '']","['Heini Hauser', 'Heinz Wiher']"
Postulat betreffend Nachtspitex in Wädenswil,Postulat,Erledigt,23. November 2020,"[' Utiger Joël', ' Gall Ursula', '', 'Eric Schenk (Mitunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)', '']","['Utiger Joël', 'Gall Ursula', 'Eric Schenk', 'Lukas Wiederkehr']"
