Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu
Integration des Quartiers Sonnenberg in das öffentliche Vekehrsnetz,Interpellation,Beantwortet,2007-06-27,['Davide Loss (Verfasser/in)'],['Davide Loss']
Auswirkung der Schülerzahlen auf die Schule Adliswil,Interpellation,Beantwortet,2013-11-06,['Davide Loss (keine Funktion)'],['Davide Loss']
Schliessung der Poststelle Adliswil 2 (Sood),Anfrage,Beantwortet,2012-01-12,['Davide Loss (Verfasser/in)'],['Davide Loss']
Umsetzung Schulreform,Interpellation,Beantwortet,2009-12-08,[' Clesle Hanspeter'],['Clesle Hanspeter']
Parkplatzbewirtschaftung der Liegenschaften Stadt Adliswil,Interpellation,Erledigt,2015-03-26,[' Corrodi Bernie'],['Corrodi Bernie']
Einsatz von Drohnen und Multikoptern,Interpellation,Beantwortet,2018-01-18,"[' Fässler Thomas', '', 'Simon Pfenninger (Erstunterzeichner/in)\n Andrea Blümli (Mitunterzeichner/in)\n Anke Würl (Mitunterzeichner/in)\n Walter Uebersax (Mitunterzeichner/in)', '', '', '']","['Fässler Thomas', 'Simon Pfenninger', 'Andrea Blümli', 'Anke Würl', 'Walter Uebersax']"
Mittel und Gegenstände (MiGeL); Pflegefinanzierung,Anfrage,Beantwortet,2018-02-27,['Heidi Jucker (Verfasser/in)'],['Heidi Jucker']
E-Velo Rikscha Fahrten für betagte Menschen,Interpellation,Beantwortet,2021-06-02,"[' Acar Sait', ' Etemi Xhelajdin', 'Dr.  Liedtke Wolfgang', ' Muthuthamby Kannathasan', ' Yilmaz Esen', '', 'Katharina  Willimann (Erstunterzeichner/in)\n Angelika  Sulser (Mitunterzeichner/in)', '']","['Acar Sait', 'Etemi Xhelajdin', 'Liedtke Wolfgang', 'Muthuthamby Kannathasan', 'Yilmaz Esen', 'Katharina  Willimann', 'Angelika  Sulser']"
Mindereinnahmen durch Abschaffung und Senkung von Steuern und Gebühren,Interpellation,Erledigt,2015-03-18,['Davide Loss (keine Funktion)'],['Davide Loss']
Förderprogramm für Solaranlagen,Postulat,Erledigt,2009-09-11,[' Fässler Thomas'],['Fässler Thomas']
Gebühren bei Umstellung auf nachhaltiges Heizsystem,Postulat,Abgelehnt,2020-07-01,"[' Mäder Gabriel', ' Schanz Simon', '', 'Stefan Neubert (Mitunterzeichner/in)\n Anke Würl (Mitunterzeichner/in)\n Martin  Rüttimann (Mitunterzeichner/in)\n Walter Uebersax (Erstunterzeichner/in)', '', '', '']","['Mäder Gabriel', 'Schanz Simon', 'Stefan Neubert', 'Anke Würl', 'Martin  Rüttimann', 'Walter Uebersax']"
Misstrauen gegen Stadtrat Mueller und Falbriard,Postulat,Abgeschrieben,2012-04-04,"[' Senn Mario', '', 'Fredi Morf (keine Funktion)']","['Senn Mario', 'Fredi Morf']"
Strom ohne Atom,Postulat,Nicht überwiesen,2013-09-04,['Ueli Gräflein (keine Funktion)'],['Ueli Gräflein']
Parkierungskonzept im Tal,Postulat,Erledigt,2005-12-07,['Fredi Morf (keine Funktion)'],['Fredi Morf']
Entwicklung im öffentlichen Verkehr,Interpellation,Beantwortet,2007-06-04,['Davide Loss (Verfasser/in)'],['Davide Loss']
Schaffung einer gesetzlichen Grundlage für die Einsetzung einer Parlamentarischen Untersuchungskommission (PUK),Motion,Beschlossen,2013-09-04,"[' Clesle Hanspeter', ' Fässler Thomas', ' Senn Mario', '', 'Ueli Gräflein (keine Funktion)\n Fredi Morf (keine Funktion)\n Davide Loss (keine Funktion)', '', '']","['Clesle Hanspeter', 'Fässler Thomas', 'Senn Mario', 'Ueli Gräflein', 'Fredi Morf', 'Davide Loss']"
Auswirkung der Kulturlandinitiative,Interpellation,Beantwortet,2012-10-03,['Yannick Wettstein (keine Funktion)'],['Yannick Wettstein']
"Sihlhochwasser, - Überschwemmung",Interpellation,Beantwortet,2009-05-04,[' Clesle Hanspeter'],['Clesle Hanspeter']
