Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu,ID-Vorstoss
Postulat betreffend aktiver Standortplanung von Mobilfunkantennen,Postulat,Beantwortet,2010-11-07,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",80
Postulat betreffend Anpassung der subventionsberechtigten Einkommenslimiten beim Schülerclub,Postulat,Erledigt,2014-02-10,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Sandy Bossert']",81
Schriftliche Anfrage betreffend LED-Lichter vor Fussgängerstreifen,Anfrage,Erledigt,2020-02-09,"[' Rasper Nicolas', ' Baer Charlotte', ' Kronauer Marco', ' Zürrer André', '', 'Roy Schärer (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '']","['Rasper Nicolas', 'Baer Charlotte', 'Kronauer Marco', 'Zürrer André', 'Roy Schärer', 'Sandy Bossert']",82
Interpellation betreffend Einsatz von Asylsuchenden und langfristig Arbeitslosen für allgemein sinnvolle Tätigkeiten zugunsten der Bevölkerung in Wädenswil,Interpellation,Erledigt,2016-01-21,"[' Schüpbach Nadia ', ' Koch Thomas', ' Schafflützel Roman', '', 'Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Erstunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Schüpbach Nadia', 'Koch Thomas', 'Schafflützel Roman', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']",83
Postulat betreffend Holzschnitzel-Wärmeverbund Mittelort-Au Park,Postulat,Erledigt,2019-11-24,['Sandy Bossert (Erstunterzeichner/in)'],['Sandy Bossert'],84
Postulat betreffend Trinkbrunnen am Bahnhof Wädenswil,Postulat,Erledigt,2013-11-05,"[' Erni Jonas', '', 'Daniel Tanner (keine Funktion)\n Thomas Rom (keine Funktion)\n Beatrice Gmür (keine Funktion)\n Hansjörg Schmid (keine Funktion)\n Christian Gross (keine Funktion)', '', '', '', '']","['Erni Jonas', 'Daniel Tanner', 'Thomas Rom', 'Beatrice Gmür', 'Hansjörg Schmid', 'Christian Gross']",85
Postulat betreffend Alternative Beheizung Eisbahnrestaurant,Postulat,Abgeschrieben,2017-06-20,"[' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",86
Motion betreffend Bildung von Wahlkreisen für die Au und für fusionswillige Nachbargemeinden,Motion,Beantwortet,2012-05-11,"['Tobias Mani\n Rahel Sonderegger (keine Funktion)', '']","['Tobias Mani', 'Rahel Sonderegger']",87
Interpellation betreffend Submission Schulhaus Rotweg,Interpellation,Erledigt,2015-09-02,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Unterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']",88
Schriftliche Anfrage betreffend Spielplatzanlagen in Wädenswil,Kleine Anfrage,Beantwortet,2008-06-24,['CVP-Fraktion'],['CVP-Fraktion'],89
Postulat betreffend Strandbad Rietliau,Postulat,Erledigt,2013-01-30,"[' Furrer Astrid', ' Koch Thomas', '', 'Walter Münch (keine Funktion)\n Walter Münch (keine Funktion)\n Christian Nufer (keine Funktion)', '', '']","['Astrid Furrer', 'Koch Thomas', 'Walter Münch', 'Walter Münch', 'Christian Nufer']",90
"Schriftliche Anfrage betreffend Personalpolitik, Rekrutierung von Personal sowie Besetzung von Kaderstellen in der Stadtverwaltung",Kleine Anfrage,Beantwortet,2007-04-26,"['und Martin Lampert, SVP\n Walter Münch (Verfasser/in)', '']","['Martin Lampert', 'Walter Münch']",91
Interpellation betreffend Unsichere Zukunft von Eisbahn und Seeplatz,Interpellation,Erledigt,2018-07-20,"['Patrik Mouron (keine Funktion)\n Volkan Dogu (Erstunterzeichner/in)\n Monika Greter (Mitunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)', '', '', '']","['Patrik Mouron', 'Volkan Dogu', 'Monika Greter', 'Lukas Wiederkehr']",92
Motion betreffend Bauabrechnungen,Motion,Erledigt,2018-07-09,"['Pascal Rubin (Erstunterzeichner/in)\n Bruno Zürcher (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)', '', '']","['Pascal Rubin', 'Bruno Zürcher', 'Hanspeter Andreoli']",93
Interpellation betreffend Schaffung günstigen Wohnraums,Interpellation,Erledigt,2013-02-13,"['Beat Wiederkehr (keine Funktion)\n Marc Lütolf (keine Funktion)\n Andreas Gut (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Beat Wiederkehr', 'Marc Lütolf', 'Andreas Gut', 'Monika Greter']",94
Postulat betreffend Unterstützung von Hauseigentümer/-innen zur Nutzung der Sonnenenergie und zur energetischen Gebäudesanierung,Postulat,Beantwortet,2008-07-10,['GP-Fraktion'],['GP-Fraktion'],95
"Schriftliche Anfrage betreffend Abfall, Abwasser und Wasserpreise in Wädenswil",Kleine Anfrage,Beantwortet,2008-05-18,['SVP-Fraktion'],['SVP-Fraktion'],96
Postulat betreffend neues Geschäftsmodell für die Badeanlagen,Postulat,Erledigt,2015-07-10,"['Marc Lütolf (keine Funktion)\n Patrik Mouron (keine Funktion)\n Volkan Dogu (Erstunterzeichner/in)\n Monika Greter (Mitunterzeichner/in)', '', '', '']","['Marc Lütolf', 'Patrik Mouron', 'Volkan Dogu', 'Monika Greter']",97
Schriftliche Anfrage betreffend Besetzung der Badehäuschen im Bereich Tiefenhof,Kleine Anfrage,,2012-04-18,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",98
Schriftliche Anfrage betreffend Rechtmässigkeit der Kürzung des Budgets der Schulsozialarbeit (SSA),Anfrage,Beantwortet,2017-05-21,"['Christine Merseburger (keine Funktion)\n Bruno Zürcher (keine Funktion)\n Gabi Bachmann (Mitunterzeichner/in)', '', '']","['Christine Merseburger', 'Bruno Zürcher', 'Gabi Bachmann']",99
Schriftliche Anfrage betreffend öffentlicher Parkplätze bei der Sonne bzw. Parkausweis für städtische Angestellte,Anfrage,Beantwortet,2016-02-07,"[' Baer Charlotte', ' Zürrer André', '', 'Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Ivano Coduri', 'Erich Schärer', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']",100
Postulat betreffend Lärmsanierung an der Quelle,Petition,Abgeschrieben,2013-05-27,"[' Erni Jonas', '', 'Albert A. Stahel\n Kuno Spirig\n Heinz Wiher\n \n Christine Merseburger (keine Funktion)', '', '', '', '']","['Erni Jonas', 'Albert A. Stahel', 'Kuno Spirig', 'Heinz Wiher', 'Christine Merseburger']",101
Interpellation betreffend bürgerfreundlicher Kommunikation vom Stadtrat und Behörden,Interpellation,Erledigt,2013-08-19,['Albert A. Stahel'],['Albert A. Stahel'],102
Interpellation betreffend Erfahrungsbericht über stadteigene Fotovoltaik- und Solarthermie-Anlagen,Interpellation,Erledigt,2019-12-09,['Roy Schärer (Erstunterzeichner/in)'],['Roy Schärer'],103
Interpellation betreffend Soziale Beschaffung und Gemeinde-Ranking von Solidarsuisse,Interpellation,Beantwortet,2014-01-17,"[' Erni Jonas', '', 'Daniel Tanner (keine Funktion)\n Beatrice Gmür (keine Funktion)\n Hansjörg Schmid (keine Funktion)\n Christian Gross (keine Funktion)', '', '', '']","['Erni Jonas', 'Daniel Tanner', 'Beatrice Gmür', 'Hansjörg Schmid', 'Christian Gross']",104
Interpellation betreffend Digitalisierung in der Primarschule - Bestehende und geplante Massnahmen zu Sicherheit und Prävention,Interpellation,Erledigt,2018-03-20,"['Martin Schlatter (Mitunterzeichner/in)\n Bruno Zürcher (Erstunterzeichner/in)\n Gabi Bachmann (Mitunterzeichner/in)', '', '']","['Martin Schlatter', 'Bruno Zürcher', 'Gabi Bachmann']",105
Schriftliche Anfrage betreffend Bushaltestelle der Linien 121 und 122 an der Seestrasse/Tiefenhofstrasse,Kleine Anfrage,Beantwortet,2007-06-30,['Willy Rüegg'],['Willy Rüegg'],106
Postulat betreffend energetische Sanierung/Renovierung der städtischen Liegenschaften,Postulat,Erledigt,2010-11-09,"['Pascal Rubin (keine Funktion)\n Hanspeter Andreoli (keine Funktion)', '']","['Pascal Rubin', 'Hanspeter Andreoli']",107
Schriftliche Anfrage betreffend Restaurant Bahnhof Au,Anfrage,Beantwortet,2010-11-09,"['Pascal Rubin (keine Funktion)\n Hanspeter Andreoli (keine Funktion)', '']","['Pascal Rubin', 'Hanspeter Andreoli']",108
Schriftliche Anfrage betreffend Verzögerung Neubau Feuerwehrgebäude an der Seestrasse,Kleine Anfrage,Beantwortet,2007-06-28,['Walter Münch (Verfasser/in)'],['Walter Münch'],109
Interpellation betreffend Umnutzung der Liegenschaft Eintrachtstrasse 24 für die Stadtpolizei,Interpellation,Erledigt,2018-03-25,"[' Baer Charlotte', ' Zürrer André', '', 'Markus Siegrist (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Roy Schärer (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Markus Siegrist', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Roy Schärer', 'Hanspeter Andreoli', 'Sandy Bossert']",110
Schriftliche Anfrage betreffend Mitarbeiterbefragung und -qualifikation/Fluktuationen,Anfrage,Beantwortet,2013-12-04,"[' Baer Charlotte', ' Furrer Astrid', ' Koch Thomas', '', 'FDP-Fraktion & SVP/BFPW-Fraktion\n Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Walter Münch (keine Funktion)\n Pascal Rubin (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Walter Münch (keine Funktion)\n Hanspeter Andreoli (keine Funktion)\n Sandy Bossert (keine Funktion)\n Christian Nufer (keine Funktion)', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Astrid Furrer', 'Koch Thomas', 'FDP-Fraktion', 'SVP/BFPW-Fraktion', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Walter Münch', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Walter Münch', 'Hanspeter Andreoli', 'Sandy Bossert', 'Christian Nufer']",111
Schriftliche Anfrage betreffend Kosten Schulraumprovisorien,Anfrage,Erledigt,2020-01-19,"[' Höhener Patrick', ' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Höhener Patrick', 'Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",112
Interpellation betreffend Zerstörung und Sicherheit,Interpellation,Erledigt,2013-05-28,['Albert A. Stahel'],['Albert A. Stahel'],113
Interpellation betreffend Auswirkungen der bewilligten Geschäfte der laufenden Legislatur auf die Finanzen der Stadt Wädenswil,Interpellation,Erledigt,2013-07-12,"['Pascal Rubin (keine Funktion)\n Hanspeter Andreoli (keine Funktion)', '']","['Pascal Rubin', 'Hanspeter Andreoli']",114
Schriftliche Anfrage betreffend Park + Ride in Wädenswil,Anfrage,Beantwortet,2016-02-03,"[' Baer Charlotte', ' Zürrer André', '', 'Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Ivano Coduri', 'Erich Schärer', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']",115
Interpellation betreffend Wädenswiler-Energiestrategie auf Abwegen?,Interpellation,Erledigt,2017-04-20,"[' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",116
Postulat betreffend Gastronomiebetrieb im Gebiet Gerbestrasse/Rosenmattpark,Postulat,Nicht überwiesen,2012-04-10,[' Erni Jonas'],['Erni Jonas'],117
Schriftliche Anfrage betreffend Massnahmen im Flüchtlingsbereich,Anfrage,Beantwortet,2015-09-01,"['Marc Lütolf (keine Funktion)\n Andreas Gut (keine Funktion)\n Patrik Mouron (keine Funktion)\n Volkan Dogu (Mitunterzeichner/in)\n Monika Greter (Zweitunterzeichner/in)', '', '', '', '']","['Marc Lütolf', 'Andreas Gut', 'Patrik Mouron', 'Volkan Dogu', 'Monika Greter']",118
Schriftliche Anfrage betreffend Beitritt der Stadt Wädenswil zur Behindertenkonferenz des Kantons Zürich,Kleine Anfrage,Beantwortet,2008-06-08,['Willy Rüegg'],['Willy Rüegg'],119
Schriftliche Anfrage betreffend Energiebuchhaltung von öffentlichen Gebäuden,Kleine Anfrage,Beantwortet,2008-07-10,['GP-Fraktion'],['GP-Fraktion'],120
Interpellation betreffend der Förderung von günstigem Wohnraum,Interpellation,Erledigt,2013-02-12,"[' Erni Jonas', '', 'Daniel Tanner (keine Funktion)\n Thomas Rom (keine Funktion)\n Beatrice Gmür (keine Funktion)\n Hansjörg Schmid (keine Funktion)\n Christian Gross (keine Funktion)', '', '', '', '']","['Erni Jonas', 'Daniel Tanner', 'Thomas Rom', 'Beatrice Gmür', 'Hansjörg Schmid', 'Christian Gross']",121
Postulat betreffend elektronisches Baubewilligungsverfahren,Postulat,Abgeschrieben,2018-07-09,"['Pascal Rubin (Erstunterzeichner/in)\n Bruno Zürcher (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)', '', '']","['Pascal Rubin', 'Bruno Zürcher', 'Hanspeter Andreoli']",122
Postulat betreffend Prüfung der Einführung von Betreuungsgutscheinen für Kinder im Vorschulatler unter Berücksichtigung der Erfahrungen in Luzern,Postulat,Beantwortet,2010-07-04,"['Aurel Greter, CVP\n Michael Vogt, CVP\n Beat Wiederkehr (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Aurel Greter', 'Michael Vogt', 'Beat Wiederkehr', 'Monika Greter']",123
Schriftliche Anfrage betreffend Zukunft des Alcatel-Areals in Au-Wädenswil,Anfrage,Beantwortet,2013-06-21,"[' Furrer Astrid', ' Koch Thomas', '', 'Walter Münch (keine Funktion)\n Walter Münch (keine Funktion)\n Christian Nufer (keine Funktion)', '', '']","['Astrid Furrer', 'Koch Thomas', 'Walter Münch', 'Walter Münch', 'Christian Nufer']",124
Postulat betreffend Tempo 30 flächendeckend in Wädenswil und der Au,Postulat,Abgeschrieben,2012-11-02,"[' Erni Jonas', '', 'Willy Rüegg\n Daniel Tanner (keine Funktion)\n Beatrice Gmür (keine Funktion)\n Hansjörg Schmid (keine Funktion)\n Christian Gross (keine Funktion)', '', '', '', '']","['Erni Jonas', 'Willy Rüegg', 'Daniel Tanner', 'Beatrice Gmür', 'Hansjörg Schmid', 'Christian Gross']",125
Postulat betreffend Organisation des ärztlichen Notfalldiensts,Postulat,Beantwortet,2008-10-29,['FDP-Fraktion'],['FDP-Fraktion'],126
Interpellation betreffend Energiekosten für Menschen mit Ergänzungsleistungen,Interpellation,Erledigt,2023-01-11,"[' Roth Hans', ' Bachmann Severin', ' Frommherz Nico', ' Hauser Urs', ' Höhener Patrick', ' Reiter Ulrich', ' Reust Patrick', ' Signer Karin', ' Wehrli Samuel', ' Willi Daniel', '', 'Judith Fürst (Mitunterzeichner/in)\n Edith Höhn (Mitunterzeichner/in)\n Gabi Bachmann (Mitunterzeichner/in)', '', '']","['Roth Hans', 'Bachmann Severin', 'Frommherz Nico', 'Hauser Urs', 'Höhener Patrick', 'Reiter Ulrich', 'Reust Patrick', 'Karin Signer', 'Wehrli Samuel', 'Willi Daniel', 'Judith Fürst', 'Edith Höhn', 'Gabi Bachmann']",127
Postulat betreffend Neugestaltung des Kinderspielplatzes auf dem Seeplatz,Postulat,Beantwortet,2010-05-30,"['Christoph Hirzel, SP\n Tobias Mani, EVP', '']","['Christoph Hirzel', 'Tobias Mani']",128
Postulat betreffend Änderung des Abschreibungssystems bei der Wasserversorgung und Abwasserentsorgung sowie bei der Erdgasversorgung,Postulat,Beantwortet,2010-12-06,,,129
Postulat betreffend Dialogmodell der Mobilfunkbetreiber,Postulat,Abgeschrieben,2015-03-18,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Erstunterzeichner/in)', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug']",130
Interpellation betreffend Gewerbeland in Wädenswil,Interpellation,Beantwortet,2009-06-22,['SVP-Fraktion'],['SVP-Fraktion'],131
Interpellation betreffend Sicherheit an den Bahnhöfen Wädenswil und Au,Interpellation,Beantwortet,2008-03-11,['Christoph Hirzel'],['Christoph Hirzel'],132
Schriftliche Anfrage betreffend Wegzug BASF und zur Standortförderung des Industrie- und Dienstleistungsstandorts Wädenswil,Anfrage,Beantwortet,2011-04-02,"[' Furrer Astrid', '', 'Peter Dolder, FDP\n Gian-Fadri Gattiker, FDP\n Thomas Bürge, FDP\n Walter Münch (keine Funktion)', '', '', '']","['Astrid Furrer', 'Peter Dolder', 'Gian-Fadri Gattiker', 'Thomas Bürge', 'Walter Münch']",133
Schriftliche Anfrage betreffend Studien und Ausstellung  Zentrumsplanung sowie Neugestaltung Zugerstrasse,Kleine Anfrage,Beantwortet,2012-07-27,['Hansjörg Schmid (keine Funktion)'],['Hansjörg Schmid'],134
Interpellation betreffend das Littering in Wädenswil,Interpellation,Beantwortet,2011-09-16,['Albert A. Stahel (Verfasser/in)'],['Albert A. Stahel'],135
Interpellation betreffend Entwicklung der Au,Interpellation,Beantwortet,2011-09-13,"['Tobias Mani\n Rahel Sonderegger (keine Funktion)', '']","['Tobias Mani', 'Rahel Sonderegger']",136
Schriftliche Anfrage betreffend Besetzung respektive Räumung des Tesdorpf-Areals am Seeweg,Kleine Anfrage,Beantwortet,2012-07-23,['Walter Münch (keine Funktion)'],['Walter Münch'],137
Schriftliche Anfrage betreffend Fluktuation bei der Polizei Wädenswil,Anfrage,Beantwortet,2011-03-30,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Sandy Bossert']",138
Schriftliche Anfrage betreffend Kino für Wädenswil,Kleine Anfrage,Beantwortet,2009-06-08,['GP-Fraktion'],['GP-Fraktion'],139
Interpellation betreffend Sprachförderung im Vorkindergarten,Interpellation,Beantwortet,2008-03-13,['CVP-Fraktion'],['CVP-Fraktion'],140
Interpellation betreffend Unterführung Bahnhof Wädenswil Süd,Interpellation,Beantwortet,2010-11-30,['Daniel Tanner (keine Funktion)'],['Daniel Tanner'],141
